(6707, datetime.datetime(2022, 11, 14, 10, 48, 8), 59, '0', '0', 400.0, 328.0, 327.0, 9.0, 1.0, 'ok')
(6708, datetime.datetime(2022, 11, 14, 10, 48, 10), 59, '0', '0', 265.0, 328.0, 339.0, 0.0, 2.0, 'ok')
(6709, datetime.datetime(2022, 11, 14, 10, 48, 12), 59, '0', '0', 265.0, 328.0, 336.0, 0.0, 2.0, 'ok')
(6710, datetime.datetime(2022, 11, 14, 10, 48, 14), 59, '0', '0', 265.0, 328.0, 336.0, 1.0, 2.0, 'ok')
(6711, datetime.datetime(2022, 11, 14, 10, 48, 16), 59, '0', '0', 265.0, 329.0, 335.0, 2.0, 2.0, 'ok')
(6712, datetime.datetime(2022, 11, 14, 10, 48, 18), 59, '0', '0', 265.0, 329.0, 334.0, 3.0, 2.0, 'ok')
(6713, datetime.datetime(2022, 11, 14, 10, 48, 20), 59, '0', '0', 267.0, 329.0, 313.0, 4.0, 2.0, 'ok')
(6714, datetime.datetime(2022, 11, 14, 10, 48, 22), 59, '0', '0', 271.0, 329.0, 303.0, 5.0, 2.0, 'ok')
(6715, datetime.datetime(2022, 11, 14, 10, 48, 24), 59, '0', '0', 271.0, 329.0, 303.0, 5.0, 2.0, 'ok')
(6716, datetime.datetime(2022, 11, 14, 10, 48, 26), 59, '0', '0', 266.0, 329.0, 351.0, 6.0, 2.0, 'ok')
(6717, datetime.datetime(2022, 11, 14, 10, 48, 28), 59, '0', '0', 265.0, 328.0, 337.0, 7.0, 2.0, 'ok')
(6718, datetime.datetime(2022, 11, 14, 10, 48, 30), 59, '0', '0', 265.0, 329.0, 336.0, 8.0, 2.0, 'ok')
(6719, datetime.datetime(2022, 11, 14, 10, 48, 33), 59, '0', '0', 265.0, 328.0, 338.0, 9.0, 2.0, 'ok')
(6720, datetime.datetime(2022, 11, 14, 10, 48, 35), 59, '0', '0', 265.0, 328.0, 338.0, 9.0, 2.0, 'ok')
(6721, datetime.datetime(2022, 11, 14, 10, 48, 36), 59, '0', '0', 264.0, 328.0, 339.0, 10.0, 2.0, 'ok')
(6722, datetime.datetime(2022, 11, 14, 10, 48, 38), 59, '0', '0', 265.0, 328.0, 337.0, 11.0, 2.0, 'ok')
(6723, datetime.datetime(2022, 11, 14, 10, 48, 41), 59, '0', '0', 265.0, 329.0, 337.0, 12.0, 2.0, 'ok')
